Fre,有435,有435,有435,有435,无435,无435,,
212.95,770,760,867,805,1047,1085,89,344179490
213,792,579,861,142,972,1138,89,344179490
213.05,913,843,859,904,997,1077,99,344179490
213.1,744,856,822,827,940,1017,88,344179490
213.15,878,830,881,1120,1052,1109,96,344179490
213.2,864,856,914,932,1063,1077,97,344179490
213.25,931,864,917,1002,1023,1083,97,344179490
213.3,858,940,981,866,1004,1028,98,344179490
213.35,1049,900,965,902,1003,1014,99,344179490
213.4,964,934,986,928,1020,1088,96,344179490
213.45,860,939,955,1008,1079,1067,93,344179490
213.5,961,893,1032,893,1041,1035,98,344179490
213.55,944,908,982,905,960,1012,94,344179490
213.6,990,923,996,874,985,1088,98,344179490
213.65,977,941,895,1011,1035,1023,99,344179490
213.7,954,900,891,946,1084,1059,99,344179490
213.75,955,885,908,920,1036,1028,95,344179490
213.8,903,939,888,1035,1045,945,90,344179490
213.85,844,875,998,985,1100,997,94,344179490
213.9,839,850,694,988,1108,1005,85,344179490
213.95,804,816,960,986,1109,975,77,344179490
214,734,775,883,1001,1074,1075,76,344179490
214.05,777,773,875,1006,1083,1021,83,344179490
214.1,858,760,840,1040,1116,1048,89,344179490
214.15,870,830,897,789,1050,1038,95,344179490
214.2,799,650,709,946,1061,1063,90,344179490
214.25,940,778,779,882,1101,1031,95,344179490
214.55,812,817,678,917,1027,1075,88,344179490
214.6,995,804,784,962,1040,1122,98,344179490
214.65,972,769,571,964,1106,1072,94,344179490
214.7,929,633,785,873,1103,1037,95,344179490
214.75,930,921,779,761,1035,1008,94,344179490
214.8,953,736,828,877,1046,993,92,344179490
214.85,961,828,663,834,1032,968,92,344179490
214.9,1010,587,783,901,1090,1011,94,344179490
214.95,1032,863,605,896,1031,952,100,344179490
215,807,863,779,810,1010,960,86,344179490
215.05,899,930,874,739,1108,981,99,344179490
215.1,943,888,888,981,1132,1082,94,344179490
215.15,961,911,1013,1004,1126,1005,89,344179490
215.2,929,1021,945,941,1000,1131,82,344179490
215.25,736,922,1024,964,1114,1023,75,344179490
215.3,857,818,991,870,1067,1098,86,344179490
215.35,755,754,1024,820,1106,1086,88,344179490
215.4,874,812,930,665,1081,1074,92,344179490
215.45,887,899,918,953,1062,953,92,344179490
215.5,756,754,891,998,1112,1021,85,344179490
215.55,952,754,970,1001,1096,977,98,344179490
215.6,812,682,942,966,1190,981,88,344179490
215.65,866,662,889,975,1155,999,83,344179490
215.7,780,860,807,994,1123,1050,74,344179490
215.75,863,730,697,1027,1059,1001,89,344179490
215.8,720,812,970,878,1100,1015,74,344179490
215.85,673,836,972,989,1084,1006,71,344179490
215.9,572,753,955,913,1022,1022,58,344179490
215.95,725,565,1028,908,1016,1063,77,344179490
216,816,779,1039,955,1043,1029,84,344179490
216.05,885,706,809,984,1071,988,89,344179490
216.1,963,680,903,1036,1054,998,92,344179490
216.15,899,821,826,936,1183,1012,89,344179490
216.2,941,830,754,978,1037,1029,92,344179490
216.25,824,897,849,914,1019,1032,84,344179490
216.4,768,822,910,947,933,1093,73,344179490
216.45,932,883,760,957,992,1062,97,344179490
216.5,737,746,790,955,984,1077,75,344179490
216.55,908,698,923,932,950,1056,92,344179490
216.6,935,784,783,1102,982,1066,89,344179490
216.65,856,772,811,950,1033,1057,87,344179490
216.7,765,901,868,1055,1032,1093,76,344179490
216.75,798,861,936,1001,1036,1043,75,344179490
216.8,771,745,921,1004,1089,1029,79,344179490
216.85,797,859,935,899,1127,978,79,344179490
216.9,1068,758,925,892,1123,997,91,344179490
216.95,836,866,736,942,1061,1024,92,344179490
217,938,662,869,895,1066,1105,98,344179490
223.8,906,885,928,1077,953,1046,98,344179490
223.85,861,846,894,1078,1054,1073,91,344179490
223.9,963,871,838,1078,1042,1031,96,344179490
223.95,984,941,825,1170,1115,975,96,344179490
224,954,937,973,1159,1077,1037,98,344179490
224.05,1004,953,1016,1171,1076,1007,96,344179490
224.1,1045,979,988,1031,1053,1019,97,344179490
224.15,1082,884,1072,958,1046,1004,97,344179490
224.2,1051,839,833,1074,1047,1037,95,344179490
224.25,1087,997,924,1014,1113,1089,97,344179490
224.3,1097,932,967,1018,1054,976,100,344179490
224.35,887,946,908,972,1154,1013,90,344179490
224.4,1062,934,876,1033,1069,943,97,344179490
224.5,999,915,939,1013,1071,961,99,344179490
224.55,924,970,901,959,1053,1020,89,344179490
224.6,1158,933,881,1055,1064,1013,95,344179490
224.65,900,873,701,1037,1016,972,94,344179490
224.7,1011,913,905,998,1028,1030,100,344179490
224.75,1044,816,917,1045,1038,962,98,344179490
224.8,944,952,955,1125,1118,1034,96,344179490
224.85,912,1007,856,1007,1049,1015,94,344179490
224.9,957,744,849,882,1066,1055,97,344179490
224.95,984,868,982,952,973,1003,95,344179490
225,822,847,934,960,1041,1024,87,344179490
225.05,951,878,1000,971,964,1044,96,344179490
225.1,941,773,955,964,1046,1077,96,344179490
225.15,996,864,1042,929,1013,1155,97,344179490
225.25,955,871,1017,1010,998,1118,89,344179490
225.3,985,891,971,1009,996,1091,97,344179490
225.35,1089,803,1050,804,1061,1080,97,344179490
225.4,1077,760,883,1020,994,103,96,344179490
225.45,1063,671,877,995,969,1084,99,344179490
225.5,1026,746,894,960,877,1084,99,344179490
225.55,1096,733,1085,974,960,1144,99,344179490
225.6,1107,829,1080,890,926,1052,100,344179490
225.65,1024,784,1033,822,1004,1023,98,344179490
225.7,1059,765,1033,702,1010,1076,99,344179490
225.75,1084,881,983,861,928,1054,97,344179490
225.85,1069,913,1021,918,1018,1056,97,344179490
225.9,1153,750,1024,911,1039,1072,100,344179490
225.95,982,637,1057,965,1005,997,93,344179490
226,1038,735,925,910,1066,1004,98,344179490
226.05,1035,954,863,781,1155,1049,97,344179490
226.1,1068,687,1023,944,1051,1029,94,344179490
226.15,1016,879,1046,998,1030,1020,94,344179490
226.2,1068,748,984,911,1055,1048,92,344179490
226.25,904,835,905,973,1161,994,87,344179490
226.3,892,936,1052,972,1023,972,87,344179490
226.35,853,955,953,1002,1063,1082,86,344179490
226.4,781,832,1062,946,1067,1063,80,344179490
226.45,953,879,1005,981,1018,1098,86,344179490
226.5,924,903,1025,857,1039,1109,89,344179490
226.55,855,819,983,951,1099,1049,85,344179490
226.6,784,938,1025,938,1021,1034,81,344179490
226.65,1141,955,1010,903,1077,979,95,344179490
226.7,942,980,973,977,1033,1022,89,344179490
226.75,915,932,1008,1110,1042,1071,85,344179490
226.8,933,1029,978,1040,929,1033,89,344179490
226.85,963,902,922,1075,943,1049,90,344179490
226.9,977,1018,837,982,934,1070,96,344179490
226.95,1068,1052,851,973,1053,1005,96,344179490
227,880,963,774,1022,998,991,81,344179490
227.05,1053,947,822,1000,1002,1094,95,344179490
227.1,834,960,998,803,961,1123,77,344179490
227.15,818,982,932,741,882,1065,82,344179490
227.2,969,893,686,974,969,1051,94,344179490
227.25,977,952,906,851,1008,1002,96,344179490
227.3,1041,892,840,852,998,1061,96,344179490
227.35,1053,876,959,928,1050,1115,89,344179490
227.4,1015,787,870,839,951,1031,95,344179490
227.45,970,745,997,807,1100,1044,89,344179490
227.5,1005,931,897,834,1026,1024,92,344179490
227.55,977,743,898,961,1073,1063,88,344179490
227.6,877,890,840,850,1011,1095,81,344179490
227.65,1017,853,835,781,1084,1082,96,344179490
227.7,1026,748,772,879,1081,1081,96,344179490
227.75,850,979,795,971,1094,1107,73,344179490
227.8,845,885,815,1012,1111,1041,74,344179490
227.85,1039,818,808,1021,1105,1054,94,344179490
227.9,756,830,892,891,997,1106,75,344179490
227.95,863,904,871,857,1036,1076,83,344179490
228,955,709,855,945,1040,1090,89,344179490
228.05,1025,807,976,907,826,973,90,344179490
